POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
269,B,41,26.9761,33.0998,37.6782,2984,465
270,B,40,26.9904,33.2334,37.7208,77208,881
271,B,41,27.6905,33.7734,37.7627,2584,394
272,B,33,31.4211,34.3848,37.8253,807688,2026
273,B,41,27.8204,33.762,37.8053,2192,406
274,B,40,27.094,33.2335,37.7291,71608,941
275,B,41,27.0704,32.9948,37.6822,2688,407
276,B,38,28.0652,32.9507,37.6119,280400,1359
277,B,41,27.1832,32.9061,37.6419,2528,424
278,B,40,27.0587,32.9915,37.6561,75952,858
279,B,41,27.5127,33.4058,37.6672,2432,396
280,B,35,30.0632,33.8367,37.6746,580464,1777
281,B,41,27.6644,33.3988,37.6077,2616,429
282,B,40,27.0855,33.0288,37.6572,73328,865
283,B,41,27.2727,32.9331,37.596,2616,404
284,B,38,27.9842,32.9342,37.5593,287408,1345
285,B,41,27.0957,32.9614,37.5773,2496,495
286,B,40,27.2067,33.2347,37.7143,73072,862
287,B,41,28.0592,33.7487,37.7369,2320,365
288,B,33,31.538,34.4261,37.8237,782824,2056
289,B,41,28.4215,33.8434,37.8035,1904,379
290,B,40,27.2489,33.1974,37.6559,70928,848
291,B,41,27.3963,33.0345,37.6207,2712,408
292,B,38,28.1091,32.9729,37.5799,284280,1353
293,B,41,27.352,32.9652,37.6319,2448,429
294,B,40,27.1574,32.9664,37.564,72856,856
295,B,41,27.9544,33.4241,37.6152,2288,385
296,B,35,30.2235,33.8153,37.6019,570088,1829
297,B,41,28.102,33.419,37.6061,2176,382
298,B,40,27.2905,32.959,37.6171,68840,883
299,B,41,27.2111,32.8285,37.5252,2256,422
300,B,38,28.2929,32.9692,37.5395,274208,1344
301,B,41,27.3551,32.9774,37.6093,2040,501
302,B,40,27.2917,33.1183,37.627,72296,864
303,B,41,28.2576,33.8225,37.7996,2472,373
304,B,33,31.6012,34.4163,37.7735,780768,2026
305,B,41,28.3266,33.8298,37.7501,2496,386
306,B,40,27.4135,33.2037,37.6033,64712,844
307,B,41,27.2569,32.9504,37.5209,2488,430
308,B,38,28.3432,32.9235,37.4408,273152,1300
309,B,41,27.3417,32.8639,37.4772,3352,438
310,B,40,27.5967,32.9537,37.4276,64392,856
